crop,year,production,area,yield,state,cost_of_cultivation_a2_fl,cost_of_cultivation_c2,cost_of_production_c2,yield_cultivation,variety,season
Cotton(Lint),2009-10,226.2,134.8,167.8,Maharashtra,23711.44,33116.82,2539.47,12.69,Vbch 2231,Unknown
Cotton(Lint),2009-10,226.2,134.8,167.8,Punjab,29047.1,50828.83,2003.76,24.39,Cicr-3 (Cisa 614),150
Cotton(Lint),2009-10,226.2,134.8,167.8,Punjab,29047.1,50828.83,2003.76,24.39,Fdk 124,Unknown
Cotton(Lint),2009-10,226.2,134.8,167.8,Andhra Pradesh,29140.77,44756.72,2509.99,17.83,Cnh012,165
Cotton(Lint),2009-10,226.2,134.8,167.8,Gujarat,29616.09,42070.44,2179.26,19.05,Cnh012,165
Cotton(Lint),2009-10,226.2,134.8,167.8,Gujarat,29616.09,42070.44,2179.26,19.05,Vbch 2231,Unknown
Cotton(Lint),2009-10,226.2,134.8,167.8,Haryana,29918.97,44018.18,2127.35,19.9,Cicr-3 (Cisa 614),150
Cotton(Lint),2009-10,226.2,134.8,167.8,Haryana,29918.97,44018.18,2127.35,19.9,Fdk 124,Unknown
Sugarcane,2009-10,123.2,115.6,106.6,Uttar Pradesh,24538.32,45239.51,93.64,448.89,Karan 6 (Co 0239),Unknown
Sugarcane,2009-10,123.2,115.6,106.6,Uttar Pradesh,24538.32,45239.51,93.64,448.89,Karan 5 (Co 0124),Unknown
Sugarcane,2009-10,123.2,115.6,106.6,Karnataka,55655.44,86765.77,86.53,986.21,Co-0218,360
Sugarcane,2009-10,123.2,115.6,106.6,Andhra Pradesh,56621.16,91442.63,119.72,757.92,Co-0218,360
Sugarcane,2009-10,123.2,115.6,106.6,Maharashtra,57673.6,85801.95,107.56,744.01,Co-0218,360
Sugarcane,2009-10,123.2,115.6,106.6,Tamil Nadu,66335.06,89025.27,85.79,1015.45,Co-0218,360
Rice,2010-11,206.4,164.8,125.2,Uttar Pradesh,17022.0,28144.5,732.62,36.61,Cr Dhan 501 (Iet 19189),152
Rice,2010-11,206.4,164.8,125.2,Orissa,17478.05,25909.05,715.04,32.42,Chinsurah Rice (Iet 19140),Medium
Rice,2010-11,206.4,164.8,125.2,Orissa,17478.05,25909.05,715.04,32.42,Igkvr-1 (Iet 19569),Mid-Early
Rice,2010-11,206.4,164.8,125.2,Orissa,17478.05,25909.05,715.04,32.42,Igkvr-2 (Iet 19795),Medium
Rice,2010-11,206.4,164.8,125.2,Orissa,17478.05,25909.05,715.04,32.42,Cr Dhan 401 (Reeta),145-150
Rice,2010-11,206.4,164.8,125.2,Orissa,17478.05,25909.05,715.04,32.42,Cr Dhan 601 (Iet 18558),160
Rice,2010-11,206.4,164.8,125.2,West Bengal,24731.06,33046.12,731.25,39.04,Chinsurah Rice (Iet 19140),Medium
Rice,2010-11,206.4,164.8,125.2,West Bengal,24731.06,33046.12,731.25,39.04,Cr Dhan 401 (Reeta),145-150
Rice,2010-11,206.4,164.8,125.2,West Bengal,24731.06,33046.12,731.25,39.04,Cr Dhan 601 (Iet 18558),160
Rice,2010-11,206.4,164.8,125.2,Punjab,25154.75,45291.24,669.86,67.41,Chinsurah Rice (Iet 19140),Medium
Rice,2010-11,206.4,164.8,125.2,Andhra Pradesh,29664.84,46450.2,789.9,56.0,Chinsurah Rice (Iet 19140),Medium
Rice,2010-11,206.4,164.8,125.2,Andhra Pradesh,29664.84,46450.2,789.9,56.0,Cr Dhan 401 (Reeta),145-150
Wheat,2010-11,150.8,119.5,126.3,Madhya Pradesh,12464.4,22489.75,810.25,23.59,Mpo(Jw)  1215 (Mpo 1215),120
Wheat,2010-11,150.8,119.5,126.3,Punjab,17945.58,35423.48,804.8,39.83,Pdw 314,169
Wheat,2010-11,150.8,119.5,126.3,Punjab,17945.58,35423.48,804.8,39.83,Whd 943,Unknown
Wheat,2010-11,150.8,119.5,126.3,Uttar Pradesh,18979.38,31902.74,769.84,34.99,Pdw 314,169
Wheat,2010-11,150.8,119.5,126.3,Uttar Pradesh,18979.38,31902.74,769.84,34.99,Dbw39,123
Wheat,2010-11,150.8,119.5,126.3,Uttar Pradesh,18979.38,31902.74,769.84,34.99,Pusa Prachi (Hi 1563),Unknown
Wheat,2010-11,150.8,119.5,126.3,Uttar Pradesh,18979.38,31902.74,769.84,34.99,Whd 943,Unknown
Wheat,2010-11,150.8,119.5,126.3,Rajasthan,19119.08,29876.36,683.58,37.19,Mpo(Jw)  1215 (Mpo 1215),120
Wheat,2010-11,150.8,119.5,126.3,Rajasthan,19119.08,29876.36,683.58,37.19,Pdw 314,169
Wheat,2010-11,150.8,119.5,126.3,Rajasthan,19119.08,29876.36,683.58,37.19,Whd 943,Unknown
Maize,2010-11,286.0,169.1,169.1,Bihar,13513.92,19857.7,404.43,42.95,Hqpm-4,95
Maize,2010-11,286.0,169.1,169.1,Karnataka,13792.85,20671.54,581.69,31.1,Hqpm-4,95
Maize,2010-11,286.0,169.1,169.1,Karnataka,13792.85,20671.54,581.69,31.1,Mch 36 (Hybrid) (Dkc 9099),99
Maize,2010-11,286.0,169.1,169.1,Karnataka,13792.85,20671.54,581.69,31.1,Dhm 119 (Bh 4062),Unknown
Maize,2010-11,286.0,169.1,169.1,Rajasthan,14421.46,19810.29,658.77,23.56,Hqpm-4,95
Maize,2010-11,286.0,169.1,169.1,Rajasthan,14421.46,19810.29,658.77,23.56,Pmh 5 (Jh 3110),Unknown
Maize,2010-11,286.0,169.1,169.1,Uttar Pradesh,15635.43,21045.11,1387.36,13.7,Pmh 4 (Jh 31153),Unknown
Maize,2010-11,286.0,169.1,169.1,Andhra Pradesh,25687.09,37801.85,840.58,42.68,Hqpm-4,95
Maize,2010-11,286.0,169.1,169.1,Andhra Pradesh,25687.09,37801.85,840.58,42.68,Dhm 119 (Bh 4062),Unknown
Gram,2010-11,182.5,149.9,121.7,Rajasthan,8552.69,12610.85,1691.66,6.83,Ujjawal (Ipck2004-29),103-111
Gram,2010-11,182.5,149.9,121.7,Madhya Pradesh,9803.89,16873.17,1551.94,10.29,Pkv Kabuli-4,110
Gram,2010-11,182.5,149.9,121.7,Uttar Pradesh,12833.04,21618.43,1882.68,10.93,Ujjawal (Ipck2004-29),103-111
Gram,2010-11,182.5,149.9,121.7,Maharashtra,12985.95,18679.33,2277.68,8.05,Ujjawal (Ipck2004-29),103-111
Gram,2010-11,182.5,149.9,121.7,Maharashtra,12985.95,18679.33,2277.68,8.05,Pkv Kabuli-4,110
Gram,2010-11,182.5,149.9,121.7,Andhra Pradesh,14421.98,26762.09,1559.04,16.69,Mnk-1,Unknown
Arhar,2010-11,119.9,122.2,98.1,Uttar Pradesh,9794.05,23076.74,1941.55,9.83,Unknown,Unknown
Arhar,2010-11,119.9,122.2,98.1,Karnataka,10593.15,16528.68,2172.46,7.47,Unknown,Unknown
Arhar,2010-11,119.9,122.2,98.1,Gujarat,13468.82,19551.9,1898.3,9.59,Unknown,Unknown
Arhar,2010-11,119.9,122.2,98.1,Andhra Pradesh,17051.66,24171.65,3670.54,6.42,Unknown,Unknown
Arhar,2010-11,119.9,122.2,98.1,Maharashtra,17130.55,25270.26,2775.8,8.72,Unknown,Unknown
Groundnut,2010-11,195.7,129.5,151.2,Karnataka,13647.1,17314.2,3484.01,4.71,Kadiri Harithandhra (K 1319),122
Groundnut,2010-11,195.7,129.5,151.2,Andhra Pradesh,21229.01,30434.61,2554.91,11.97,Girnar - 3 (Pbs 12160),108
Groundnut,2010-11,195.7,129.5,151.2,Tamil Nadu,22507.86,30393.66,2358.0,11.98,Girnar - 3 (Pbs 12160),108
Groundnut,2010-11,195.7,129.5,151.2,Gujarat,22951.28,30114.45,1918.92,13.45,Girnar - 3 (Pbs 12160),108
Groundnut,2010-11,195.7,129.5,151.2,Maharashtra,26078.66,32683.46,3207.35,9.33,Kadiri Harithandhra (K 1319),122
Cotton(Lint),2010-11,310.8,149.5,207.9,Maharashtra,23711.44,33116.82,2539.47,12.69,Cnh012,165
Cotton(Lint),2010-11,310.8,149.5,207.9,Maharashtra,23711.44,33116.82,2539.47,12.69,Vbch 2231,Unknown
Cotton(Lint),2010-11,310.8,149.5,207.9,Punjab,29047.1,50828.83,2003.76,24.39,Cicr-3 (Cisa 614),150
Cotton(Lint),2010-11,310.8,149.5,207.9,Punjab,29047.1,50828.83,2003.76,24.39,Fdk 124,Unknown
Cotton(Lint),2010-11,310.8,149.5,207.9,Andhra Pradesh,29140.77,44756.72,2509.99,17.83,Cnh012,165
Cotton(Lint),2010-11,310.8,149.5,207.9,Gujarat,29616.09,42070.44,2179.26,19.05,Cnh012,165
Cotton(Lint),2010-11,310.8,149.5,207.9,Gujarat,29616.09,42070.44,2179.26,19.05,Vbch 2231,Unknown
Cotton(Lint),2010-11,310.8,149.5,207.9,Haryana,29918.97,44018.18,2127.35,19.9,Cicr-3 (Cisa 614),150
Cotton(Lint),2010-11,310.8,149.5,207.9,Haryana,29918.97,44018.18,2127.35,19.9,Fdk 124,Unknown
Sugarcane,2010-11,144.3,135.2,106.7,Uttar Pradesh,24538.32,45239.51,93.64,448.89,Karan 6 (Co 0239),Unknown
Sugarcane,2010-11,144.3,135.2,106.7,Uttar Pradesh,24538.32,45239.51,93.64,448.89,Karan 5 (Co 0124),Unknown
Sugarcane,2010-11,144.3,135.2,106.7,Karnataka,55655.44,86765.77,86.53,986.21,Co-0218,360
Sugarcane,2010-11,144.3,135.2,106.7,Andhra Pradesh,56621.16,91442.63,119.72,757.92,Co-0218,360
Sugarcane,2010-11,144.3,135.2,106.7,Maharashtra,57673.6,85801.95,107.56,744.01,Co-0218,360
Sugarcane,2010-11,144.3,135.2,106.7,Tamil Nadu,66335.06,89025.27,85.79,1015.45,Co-0218,360
